page_number,doc_type,decision_source,rule_doc_type,rule_score,rule_margin,matched_class_count,strong_signature_matched,llm_called,llm_failed,llm_doc_type,llm_confidence,marker_style,marker_page,marker_total,instance_id,is_orphan,rotation,normalized_text_length,warnings
1,CREDIT_REPORT,RULE,CREDIT_REPORT,1.0,1.0,1,True,False,False,,,PAGE_N_OF_M,7,11,,False,0,3325,
2,URLA_1003,RULE,URLA_1003,1.0,1.0,1,True,False,False,,,N_OF_M,10,11,URLA_1003#1,False,90,2528,
3,CREDIT_REPORT,RULE,CREDIT_REPORT,1.0,1.0,1,True,False,False,,,NONE,,,,True,90,232,ORPHAN_PAGE
4,URLA_1003,RULE,URLA_1003,0.9285714285714286,0.8571428571428572,2,True,False,False,,,N_OF_M,5,11,URLA_1003#1,False,270,4491,
5,CREDIT_REPORT,RULE,CREDIT_REPORT,1.0,1.0,1,True,False,False,,,PAGE_N_OF_M,4,11,,False,0,1939,
6,URLA_1003,RULE,URLA_1003,1.0,1.0,1,True,False,False,,,N_OF_M,1,11,URLA_1003#1,False,270,2698,
7,CREDIT_REPORT,RULE,CREDIT_REPORT,1.0,1.0,1,True,False,False,,,PAGE_N_OF_M,11,11,,False,270,1133,
8,OTHER,RULE,OTHER,0.0,0.0,0,False,False,False,,,NONE,,,,True,270,68,NO_SIGNATURE;ORPHAN_PAGE
9,CREDIT_REPORT,RULE,CREDIT_REPORT,1.0,1.0,1,True,False,False,,,PAGE_N_OF_M,1,11,,False,180,3194,
10,URLA_1003,RULE,URLA_1003,1.0,1.0,1,True,False,False,,,N_OF_M,3,11,URLA_1003#1,False,0,2217,
11,CREDIT_REPORT,RULE,CREDIT_REPORT,0.9,0.8,2,True,False,False,,,PAGE_N_OF_M,10,11,,False,0,2678,
12,TITLE_REPORT,RULE,TITLE_REPORT,1.0,1.0,1,True,False,False,,,CLTA_PAGE_N,4,,,False,180,3517,
13,CREDIT_REPORT,RULE,CREDIT_REPORT,1.0,1.0,1,True,False,False,,,NONE,,,,True,180,2177,ORPHAN_PAGE
14,URLA_1003,RULE,URLA_1003,1.0,1.0,1,True,False,False,,,N_OF_M,6,11,URLA_1003#1,False,0,2845,
15,CREDIT_REPORT,RULE,CREDIT_REPORT,1.0,1.0,1,True,False,False,,,PAGE_N_OF_M,8,11,,False,180,3003,
16,TITLE_REPORT,RULE,TITLE_REPORT,1.0,1.0,1,True,False,False,,,CLTA_PAGE_N,6,,,False,270,861,
17,CREDIT_REPORT,RULE,CREDIT_REPORT,1.0,1.0,1,True,False,False,,,NONE,,,,True,90,2260,ORPHAN_PAGE
18,TITLE_REPORT,RULE,TITLE_REPORT,1.0,1.0,1,True,False,False,,,CLTA_PAGE_N,7,,,False,270,2565,
19,CREDIT_REPORT,RULE,CREDIT_REPORT,1.0,1.0,1,True,False,False,,,PAGE_N_OF_M,6,11,,False,0,2690,
20,URLA_1003,RULE,URLA_1003,1.0,1.0,1,True,False,False,,,N_OF_M,4,11,URLA_1003#1,False,180,2264,
21,CREDIT_REPORT,RULE,CREDIT_REPORT,1.0,1.0,1,True,False,False,,,NONE,,,,True,90,1609,ORPHAN_PAGE
22,TITLE_REPORT,RULE,TITLE_REPORT,1.0,1.0,1,True,False,False,,,CLTA_PAGE_N,5,,,False,0,889,
23,CREDIT_REPORT,RULE,CREDIT_REPORT,1.0,1.0,1,True,False,False,,,NONE,,,,True,180,551,ORPHAN_PAGE
24,URLA_1003,RULE,URLA_1003,1.0,1.0,1,True,False,False,,,N_OF_M,8,11,URLA_1003#1,False,90,1470,
25,CREDIT_REPORT,RULE,CREDIT_REPORT,1.0,1.0,1,True,False,False,,,NONE,,,,True,90,3421,ORPHAN_PAGE
26,URLA_1003,RULE,URLA_1003,1.0,1.0,1,True,False,False,,,N_OF_M,11,11,URLA_1003#1,False,180,1614,
27,CREDIT_REPORT,RULE,CREDIT_REPORT,1.0,1.0,1,True,False,False,,,PAGE_N_OF_M,9,11,,False,90,2952,
28,TITLE_REPORT,RULE,TITLE_REPORT,1.0,1.0,1,True,False,False,,,CLTA_PAGE_N,8,,,False,0,1971,
29,CREDIT_REPORT,RULE,CREDIT_REPORT,1.0,1.0,1,True,False,False,,,NONE,,,,True,180,864,ORPHAN_PAGE
30,URLA_1003,RULE,URLA_1003,1.0,1.0,1,True,False,False,,,N_OF_M,7,11,URLA_1003#1,False,270,580,
31,CREDIT_REPORT,RULE,CREDIT_REPORT,1.0,1.0,1,True,False,False,,,PAGE_N_OF_M,2,11,,False,0,2664,
32,TITLE_REPORT,RULE,TITLE_REPORT,1.0,1.0,1,True,False,False,,,CLTA_PAGE_N,1,,,False,0,2552,
33,CREDIT_REPORT,RULE,CREDIT_REPORT,1.0,1.0,1,True,False,False,,,PAGE_N_OF_M,5,11,,False,180,2795,
34,TITLE_REPORT,RULE,TITLE_REPORT,1.0,1.0,1,True,False,False,,,CLTA_PAGE_N,2,,,False,180,619,
35,URLA_1003,RULE,URLA_1003,1.0,1.0,1,True,False,False,,,N_OF_M,9,11,URLA_1003#1,False,90,978,
36,INCOME_DOC,RULE,INCOME_DOC,0.25,1.0,1,False,False,False,,,NONE,,,,True,0,221,ORPHAN_PAGE
37,TITLE_REPORT,RULE,TITLE_REPORT,1.0,1.0,1,True,False,False,,,CLTA_PAGE_N,3,,,False,90,457,
38,URLA_1003,RULE,URLA_1003,1.0,1.0,1,True,False,False,,,N_OF_M,2,11,URLA_1003#1,False,0,1552,
39,CREDIT_REPORT,RULE,CREDIT_REPORT,1.0,1.0,1,True,False,False,,,PAGE_N_OF_M,3,11,,False,0,2336,
