group_id,doc_type,start_page,end_page,page_count,physical_pages
PG001,CREDIT_REPORT,1,1,1,1
PG002,URLA_1003,2,2,1,2
PG003,CREDIT_REPORT,3,3,1,3
PG004,URLA_1003,4,4,1,4
PG005,CREDIT_REPORT,5,5,1,5
PG006,URLA_1003,6,6,1,6
PG007,CREDIT_REPORT,7,7,1,7
PG008,TITLE_REPORT,8,8,1,8
PG009,CREDIT_REPORT,9,9,1,9
PG010,URLA_1003,10,10,1,10
PG011,CREDIT_REPORT,11,11,1,11
PG012,TITLE_REPORT,12,12,1,12
PG013,CREDIT_REPORT,13,13,1,13
PG014,URLA_1003,14,14,1,14
PG015,CREDIT_REPORT,15,15,1,15
PG016,TITLE_REPORT,16,16,1,16
PG017,CREDIT_REPORT,17,17,1,17
PG018,TITLE_REPORT,18,18,1,18
PG019,CREDIT_REPORT,19,19,1,19
PG020,URLA_1003,20,20,1,20
PG021,CREDIT_REPORT,21,21,1,21
PG022,TITLE_REPORT,22,22,1,22
PG023,CREDIT_REPORT,23,23,1,23
PG024,URLA_1003,24,24,1,24
PG025,CREDIT_REPORT,25,25,1,25
PG026,URLA_1003,26,26,1,26
PG027,CREDIT_REPORT,27,27,1,27
PG028,TITLE_REPORT,28,28,1,28
PG029,CREDIT_REPORT,29,29,1,29
PG030,URLA_1003,30,30,1,30
PG031,CREDIT_REPORT,31,31,1,31
PG032,TITLE_REPORT,32,32,1,32
PG033,CREDIT_REPORT,33,33,1,33
PG034,TITLE_REPORT,34,34,1,34
PG035,URLA_1003,35,35,1,35
PG036,OTHER,36,36,1,36
PG037,TITLE_REPORT,37,37,1,37
PG038,URLA_1003,38,38,1,38
PG039,CREDIT_REPORT,39,39,1,39
