group_id,doc_type,start_page,end_page,page_count,physical_pages
PG001,TITLE_REPORT,1,1,1,1
PG002,CREDIT_REPORT,2,2,1,2
PG003,TITLE_REPORT,3,3,1,3
PG004,CREDIT_REPORT,4,4,1,4
PG005,TITLE_REPORT,5,5,1,5
PG006,CREDIT_REPORT,6,6,1,6
PG007,TITLE_REPORT,7,7,1,7
PG008,CREDIT_REPORT,8,8,1,8
PG009,TITLE_REPORT,9,9,1,9
PG010,CREDIT_REPORT,10,10,1,10
PG011,OTHER,11,11,1,11
PG012,INCOME_DOC,12,12,1,12
PG013,URLA_1003,13,13,1,13
PG014,CREDIT_REPORT,14,14,1,14
PG015,TITLE_REPORT,15,15,1,15
PG016,URLA_1003,16,16,1,16
PG017,TITLE_REPORT,17,17,1,17
PG018,URLA_1003,18,18,1,18
PG019,CREDIT_REPORT,19,19,1,19
PG020,URLA_1003,20,20,1,20
PG021,CREDIT_REPORT,21,21,1,21
PG022,TITLE_REPORT,22,22,1,22
PG023,URLA_1003,23,23,1,23
PG024,CREDIT_REPORT,24,24,1,24
PG025,URLA_1003,25,25,1,25
PG026,OTHER,26,26,1,26
PG027,INCOME_DOC,27,27,1,27
PG028,CREDIT_REPORT,28,28,1,28
PG029,URLA_1003,29,29,1,29
PG030,TITLE_REPORT,30,30,1,30
PG031,INCOME_DOC,31,31,1,31
PG032,OTHER,32,32,1,32
PG033,TITLE_REPORT,33,33,1,33
PG034,CREDIT_REPORT,34,34,1,34
PG035,URLA_1003,35,35,1,35
PG036,INCOME_DOC,36,36,1,36
PG037,URLA_1003,37,37,1,37
PG038,CREDIT_REPORT,38,38,1,38
PG039,INCOME_DOC,39,39,1,39
PG040,OTHER,40,40,1,40
PG041,CREDIT_REPORT,41,41,1,41
PG042,TITLE_REPORT,42,42,1,42
PG043,URLA_1003,43,43,1,43
PG044,CREDIT_REPORT,44,44,1,44
