page_number,doc_type,decision_source,rule_doc_type,rule_score,rule_margin,matched_class_count,strong_signature_matched,llm_called,llm_failed,llm_doc_type,llm_confidence,marker_style,marker_page,marker_total,instance_id,is_orphan,rotation,normalized_text_length,warnings
1,TITLE_REPORT,RULE,TITLE_REPORT,1.0,1.0,1,True,False,False,,,PAGE_N_OF_M,2,5,,False,270,1022,
2,CREDIT_REPORT,RULE,CREDIT_REPORT,1.0,1.0,1,True,False,False,,,NONE,,,,True,90,3201,ORPHAN_PAGE
3,TITLE_REPORT,RULE,TITLE_REPORT,1.0,1.0,1,True,False,False,,,PAGE_N_OF_M,1,5,,False,270,1935,
4,CREDIT_REPORT,RULE,CREDIT_REPORT,1.0,1.0,1,True,False,False,,,NONE,,,,True,0,2207,ORPHAN_PAGE
5,TITLE_REPORT,RULE,TITLE_REPORT,1.0,1.0,1,True,False,False,,,PAGE_N_OF_M,5,5,,False,180,2029,
6,CREDIT_REPORT,RULE,CREDIT_REPORT,1.0,1.0,1,True,False,False,,,PAGE_N_OF_M,8,9,,False,90,2629,
7,TITLE_REPORT,RULE,TITLE_REPORT,1.0,1.0,1,True,False,False,,,PAGE_N_OF_M,5,5,,False,0,2029,
8,CREDIT_REPORT,RULE,CREDIT_REPORT,1.0,1.0,1,True,False,False,,,PAGE_N_OF_M,1,9,,False,180,1837,
9,TITLE_REPORT,RULE,TITLE_REPORT,1.0,1.0,1,True,False,False,,,PAGE_N_OF_M,3,5,,False,90,1898,
10,CREDIT_REPORT,RULE,CREDIT_REPORT,1.0,1.0,1,True,False,False,,,PAGE_N_OF_M,9,9,,False,90,2093,
11,OTHER,LLM,OTHER,0.0,0.0,0,False,True,False,OTHER,0.1,NONE,,,,True,180,0,NO_SIGNATURE;ORPHAN_PAGE
12,INCOME_DOC,RULE,INCOME_DOC,1.0,1.0,1,True,False,False,,,PAGE_N_OF_M,1,2,,False,90,935,
13,URLA_1003,RULE,URLA_1003,1.0,1.0,1,True,False,False,,,N_OF_M,3,10,URLA_1003#1,False,0,1573,
14,CREDIT_REPORT,RULE,CREDIT_REPORT,1.0,1.0,1,True,False,False,,,NONE,,,,True,180,1390,ORPHAN_PAGE
15,TITLE_REPORT,RULE,TITLE_REPORT,1.0,1.0,1,True,False,False,,,PAGE_N_OF_M,4,5,,False,270,3337,
16,URLA_1003,RULE,URLA_1003,1.0,1.0,1,True,False,False,,,N_OF_M,4,10,URLA_1003#1,False,0,2260,
17,TITLE_REPORT,RULE,TITLE_REPORT,1.0,1.0,1,True,False,False,,,PAGE_N_OF_M,1,5,,False,0,1953,
18,URLA_1003,RULE,URLA_1003,1.0,1.0,1,True,False,False,,,N_OF_M,6,10,URLA_1003#1,False,180,2852,
19,CREDIT_REPORT,RULE,CREDIT_REPORT,1.0,1.0,1,True,False,False,,,NONE,,,,True,180,2180,ORPHAN_PAGE
20,URLA_1003,RULE,URLA_1003,1.0,1.0,1,True,False,False,,,N_OF_M,1,10,URLA_1003#1,False,90,2722,
21,CREDIT_REPORT,RULE,CREDIT_REPORT,1.0,1.0,1,True,False,False,,,PAGE_N_OF_M,7,9,,False,0,3222,
22,TITLE_REPORT,RULE,TITLE_REPORT,1.0,1.0,1,True,False,False,,,PAGE_N_OF_M,4,5,,False,90,3337,
23,URLA_1003,RULE,URLA_1003,1.0,1.0,1,True,False,False,,,N_OF_M,7,10,URLA_1003#1,False,0,561,
24,CREDIT_REPORT,RULE,CREDIT_REPORT,1.0,1.0,1,True,False,False,,,NONE,,,,True,0,466,ORPHAN_PAGE
25,URLA_1003,RULE,URLA_1003,1.0,1.0,1,True,False,False,,,N_OF_M,9,10,URLA_1003#1,False,0,2525,
26,OTHER,LLM,OTHER,0.0,0.0,0,False,True,False,OTHER,0.1,NONE,,,,True,90,0,NO_SIGNATURE;ORPHAN_PAGE
27,INCOME_DOC,RULE,INCOME_DOC,1.0,1.0,1,True,False,False,,,PAGE_N_OF_M,1,2,,False,90,975,
28,CREDIT_REPORT,RULE,CREDIT_REPORT,1.0,1.0,1,True,False,False,,,PAGE_N_OF_M,5,9,,False,270,3200,
29,URLA_1003,RULE,URLA_1003,1.0,1.0,1,True,False,False,,,N_OF_M,8,10,URLA_1003#1,False,90,1466,
30,TITLE_REPORT,RULE,TITLE_REPORT,1.0,1.0,1,True,False,False,,,NONE,,,,True,180,820,ORPHAN_PAGE
31,INCOME_DOC,RULE,INCOME_DOC,1.0,1.0,1,True,False,False,,,PAGE_N_OF_M,2,2,,False,270,769,
32,CREDIT_REPORT,LLM,OTHER,0.0,0.0,0,False,True,False,CREDIT_REPORT,0.95,NONE,,,,True,90,671,NO_SIGNATURE;ORPHAN_PAGE
33,TITLE_REPORT,RULE,TITLE_REPORT,1.0,1.0,1,True,False,False,,,PAGE_N_OF_M,3,5,,False,90,1898,
34,CREDIT_REPORT,RULE,CREDIT_REPORT,1.0,1.0,1,True,False,False,,,PAGE_N_OF_M,2,9,,False,180,3027,
35,URLA_1003,RULE,URLA_1003,1.0,1.0,1,True,False,False,,,N_OF_M,2,10,URLA_1003#1,False,270,2467,
36,INCOME_DOC,RULE,INCOME_DOC,1.0,1.0,1,True,False,False,,,NONE,,,,True,180,379,ORPHAN_PAGE
37,URLA_1003,RULE,URLA_1003,1.0,1.0,1,True,False,False,,,N_OF_M,10,10,URLA_1003#1,False,270,1635,
38,CREDIT_REPORT,RULE,CREDIT_REPORT,1.0,1.0,1,True,False,False,,,PAGE_N_OF_M,3,9,,False,270,3192,
39,INCOME_DOC,RULE,INCOME_DOC,1.0,1.0,1,True,False,False,,,PAGE_N_OF_M,2,2,,False,0,81,
